Removed Pin From Net: NetName=LNA_P Pin=C38-1
Removed Pin From Net: NetName=LNA_P Pin=L2-1
Removed Pin From Net: NetName=LNA_N Pin=L2-2
Removed Pin From Net: NetName=GND Pin=L3-1
Removed Pin From Net: NetName=LNA_P Pin=L3-2
Removed Pin From Net: NetName=NetC40_1 Pin=L5-2
Removed Pin From Net: NetName=GND Pin=R27-2
Change Component Footprint: Designator=C38 Old Footprint=FP-GCM188-0_1-IPC_A New Footprint=CAPC1608X90X35LL10T15
Change Component Footprint: Designator=L2 Old Footprint=FP-LQW18AN_00-MFG New Footprint=FP-LQG18HH_00-IPC_A
Change Component Footprint: Designator=L3 Old Footprint=FP-LQW18AN_00-MFG New Footprint=FP-LQG18HH_00-IPC_A
Change Component Footprint: Designator=L4 Old Footprint=FP-LQW18AN_00-MFG New Footprint=FP-LQG18HH_00-MFG
Change Component Footprint: Designator=L5 Old Footprint=FP-LQW18AN_00-MFG New Footprint=FP-LQG18HH_00-MFG
Change Component Footprint: Designator=C41 Old Footprint=RES_0805 New Footprint=FP-GCM188-0_1-IPC_A
Change Component Comment : Designator=C41 Old Comment=Capacitor New Comment=06035A101JAT2A
Change Component Comment : Designator=C39 Old Comment=GCM1885C2A5R1CA16D New Comment=06035A5R1CAT2A
Change Component Comment : Designator=C40 Old Comment=GCM1885C2A5R1CA16D New Comment=06035A560JAT2A
Change Component Comment : Designator=C38 Old Comment=GCM1885C2A5R1CA16D New Comment=GCJ188R71C103KA01D
Change Component Comment : Designator=L5 Old Comment=LQW18AN15NG00D New Comment=LQG18HN27NJ00D
Change Component Comment : Designator=L4 Old Comment=LQW18AN27NJ00D New Comment=LQG18HN27NJ00D
Change Component Comment : Designator=L3 Old Comment=LQW18AN27NJ00D New Comment=LQG18HN56NJ00D
Change Component Comment : Designator=L2 Old Comment=LQW18AN56NG00D New Comment=LQG18HN56NJ00D
Change Managed Component Library Link : Designator=C38 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=5F3AB751-894B-4B20-88B9-EF05C8C0D25C New ItemGUID=21A0F3D9-E1EB-4B21-9530-9D5AA9C27727 Old RevisionGUID=31ED9A5D-4517-4489-ABF7-7FD097532DCC New RevisionGUID=92FADFD1-5AF5-4F12-9A12-F3F587EF614E
Change Managed Component Library Link : Designator=L2 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=6E1305E7-BA89-4340-BA2A-49A8374E8F6A New ItemGUID=8D5818CD-4DD7-46FC-BEA5-5ACB5CE66988 Old RevisionGUID=841614AF-D431-47B7-923C-0EE835C649EA New RevisionGUID=486091CE-0C1C-4F1A-ACBA-9D280565A0B3
Change Managed Component Library Link : Designator=L3 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=8FFE469C-D7A0-40C8-B6F4-0624B6816737 New ItemGUID=8D5818CD-4DD7-46FC-BEA5-5ACB5CE66988 Old RevisionGUID=7960030D-4E04-473C-992A-9EBE2CB4FEFE New RevisionGUID=486091CE-0C1C-4F1A-ACBA-9D280565A0B3
Change Managed Component Library Link : Designator=L4 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=8FFE469C-D7A0-40C8-B6F4-0624B6816737 New ItemGUID=CBDC3F99-B0A8-4C77-98A3-29D1437FA941 Old RevisionGUID=7960030D-4E04-473C-992A-9EBE2CB4FEFE New RevisionGUID=9A7234C7-4230-4A16-8487-C890F3F3E9B0
Change Managed Component Library Link : Designator=L5 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=2058FF42-0975-4AE1-9D9C-C3F587B8B836 New ItemGUID=CBDC3F99-B0A8-4C77-98A3-29D1437FA941 Old RevisionGUID=9334EB29-E5F2-4D7D-A312-500765E624E2 New RevisionGUID=9A7234C7-4230-4A16-8487-C890F3F3E9B0
Change Managed Component Library Link : Designator=C41 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=5F3AB751-894B-4B20-88B9-EF05C8C0D25C Old RevisionGUID= New RevisionGUID=31ED9A5D-4517-4489-ABF7-7FD097532DCC
Change component parameters: Designator = "C38" ("C38"); Footprint = "FP-GCM188-0_1-IPC_A"; UniqueID = "\CFOWBUZS\AGOXTUNK" ("\CFOWBUZS\AGOXTUNK")
Add component (AddParameter): Name = "Case Code (Imperial)"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case Code (Metric)"; Value = "1608"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case/Package"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Core Material"; Value = "Air"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Current Rating"; Value = "350mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "DC Current"; Value = "350mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "DC Resistance (DCR)"; Value = "400mR"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Depth"; Value = "0.95mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "0.031inch"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Inductance"; Value = "15nH"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Inductance Tolerance"; Value = "5%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "0.063inch"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max DC Current"; Value = "350mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "85°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Military Standard"; Value = "Not"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-40°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Quantity"; Value = "4000"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Q Factor"; Value = "12"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Self Resonant Frequency"; Value = "2.8GHz"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Shielding"; Value = "Unshielded"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Test Frequency"; Value = "100MHz"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "5%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Width"; Value = "0.031inch"; VariantName = "[No Variations]"
Added Component: Designator=L7(FP-LQG18HH_00-IPC_C)
Add component (AddParameter): Name = "Case Code (Imperial)"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case Code (Metric)"; Value = "1608"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case/Package"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Core Material"; Value = "Air"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Current Rating"; Value = "350mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "DC Current"; Value = "350mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "DC Resistance (DCR)"; Value = "400mR"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Depth"; Value = "0.95mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "0.031inch"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Inductance"; Value = "15nH"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Inductance Tolerance"; Value = "5%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "0.063inch"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max DC Current"; Value = "350mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "85°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Military Standard"; Value = "Not"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-40°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Quantity"; Value = "4000"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Q Factor"; Value = "12"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Self Resonant Frequency"; Value = "2.8GHz"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Shielding"; Value = "Unshielded"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Test Frequency"; Value = "100MHz"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "5%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Width"; Value = "0.031inch"; VariantName = "[No Variations]"
Added Component: Designator=L8(FP-LQG18HH_00-IPC_C)
Add component (AddParameter): Name = "Case Code (Imperial)"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case Code (Metric)"; Value = "1608"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case/Package"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Core Material"; Value = "Air"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Current Rating"; Value = "300mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "DC Current"; Value = "300mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "DC Resistance (DCR)"; Value = "500mR"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Depth"; Value = "0.95mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "0.8mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height - Seated (Max)"; Value = "0.037inch"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Inductance"; Value = "22nH"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Inductance Tolerance"; Value = "5%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "1.6mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max DC Current"; Value = "300mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "85°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Military Standard"; Value = "Not"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-40°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Quantity"; Value = "4000"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Q Factor"; Value = "12"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Self Resonant Frequency"; Value = "2.3GHz"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series"; Value = "LQG18H"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Shielding"; Value = "Unshielded"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Test Frequency"; Value = "100MHz"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "5%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Width"; Value = "0.031inch"; VariantName = "[No Variations]"
Added Component: Designator=L9(FP-LQG18HH_00-IPC_C)
Add component (AddParameter): Name = "Case Code (Imperial)"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case Code (Metric)"; Value = "1608"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case/Package"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Core Material"; Value = "Air"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Current Rating"; Value = "350mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "DC Current"; Value = "350mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "DC Resistance (DCR)"; Value = "400mR"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Depth"; Value = "0.95mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "0.031inch"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Inductance"; Value = "15nH"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Inductance Tolerance"; Value = "5%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "0.063inch"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max DC Current"; Value = "350mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "85°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Military Standard"; Value = "Not"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-40°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Quantity"; Value = "4000"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Q Factor"; Value = "12"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Self Resonant Frequency"; Value = "2.8GHz"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Shielding"; Value = "Unshielded"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Test Frequency"; Value = "100MHz"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "5%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Width"; Value = "0.031inch"; VariantName = "[No Variations]"
Added Pin To Net: NetName=GND Pin=C38-1
Added Pin To Net: NetName=VA_OUT Pin=C38-2
Added Pin To Net: NetName=VA_OUT Pin=C40-2
Added Pin To Net: NetName=GND Pin=C41-1
Added Pin To Net: NetName=VA_OUT Pin=C41-2
Added Pin To Net: NetName=LNA_P Pin=C48-1
Added Pin To Net: NetName=GND Pin=C49-1
Added Pin To Net: NetName=GND Pin=J3-2
Added Pin To Net: NetName=GND Pin=J3-3
Added Pin To Net: NetName=GND Pin=J3-4
Added Pin To Net: NetName=GND Pin=J3-5
Added Pin To Net: NetName=NetC40_1 Pin=L2-2
Added Pin To Net: NetName=LNA_P Pin=L3-1
Added Pin To Net: NetName=LNA_N Pin=L3-2
Added Pin To Net: NetName=GND Pin=L5-1
Added Pin To Net: NetName=LNA_P Pin=L5-2
Added Pin To Net: NetName=VA_OUT Pin=R27-1
Added Pin To Net: NetName=NetC40_1 Pin=R27-2
Added Pin To Net: NetName=NetC46_1 Pin=C46-1
Added Pin To Net: NetName=NetC46_1 Pin=J3-1
Added Pin To Net: NetName=NetC46_1 Pin=L8-2
Added Net: Name=NetC46_1
Added Pin To Net: NetName=NetC46_2 Pin=C46-2
Added Pin To Net: NetName=NetC46_2 Pin=C49-2
Added Pin To Net: NetName=NetC46_2 Pin=L7-2
Added Pin To Net: NetName=NetC46_2 Pin=L8-1
Added Net: Name=NetC46_2
Added Pin To Net: NetName=NetC47_1 Pin=C47-1
Added Pin To Net: NetName=NetC47_1 Pin=C50-2
Added Pin To Net: NetName=NetC47_1 Pin=L6-1
Added Net: Name=NetC47_1
Added Pin To Net: NetName=NetC48_2 Pin=C48-2
Added Pin To Net: NetName=NetC48_2 Pin=L4-1
Added Pin To Net: NetName=NetC48_2 Pin=L9-1
Added Net: Name=NetC48_2
Added Pin To Net: NetName=NetC50_1 Pin=C50-1
Added Pin To Net: NetName=NetC50_1 Pin=C51-2
Added Pin To Net: NetName=NetC50_1 Pin=L6-2
Added Pin To Net: NetName=NetC50_1 Pin=L7-1
Added Net: Name=NetC50_1
Added Pin To Net: NetName=NetC52_1 Pin=C52-1
Added Pin To Net: NetName=NetC52_1 Pin=IC2-23
Added Net: Name=NetC52_1
Added Pin To Net: NetName=NetC52_2 Pin=C52-2
Added Pin To Net: NetName=NetC52_2 Pin=IC2-24
Added Net: Name=NetC52_2
Added Pin To Net: NetName=PA Pin=C47-2
Added Pin To Net: NetName=PA Pin=IC2-17
Added Pin To Net: NetName=PA Pin=L2-1
Added Net: Name=PA
Added Pin To Net: NetName=TRX_SW Pin=C51-1
Added Pin To Net: NetName=TRX_SW Pin=IC2-18
Added Pin To Net: NetName=TRX_SW Pin=L9-2
Added Net: Name=TRX_SW
Added Member To Class: ClassName=RF Member=Component C46 DNP
Added Member To Class: ClassName=RF Member=Component C47 06035A390JAT2A
Added Member To Class: ClassName=RF Member=Component C48 06035A5R1CAT2A
Added Member To Class: ClassName=RF Member=Component C49 06035A6R2CAT2A
Added Member To Class: ClassName=RF Member=Component C50 06035A2R2CAT2A
Added Member To Class: ClassName=RF Member=Component C51 06035A5R1CAT2A
Added Member To Class: ClassName=RF Member=Component C52 GCM188R71H152KA37D
Added Member To Class: ClassName=RF Member=Component J3 142-0801-811
Added Member To Class: ClassName=RF Member=Component L6 LQG18HN15NJ00D
Added Member To Class: ClassName=RF Member=Component L7 LQG18HN43NJ00
Added Member To Class: ClassName=RF Member=Component L8 LQG18HN22NJ00D
Added Member To Class: ClassName=RF Member=Component L9 LQG18HN15NJ00D
